County,"Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2016-2020","Foreign born persons, percent, 2016-2020","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2016-2020","Median value of owner-occupied housing units, 2016-2020","Median selected monthly owner costs -with a mortgage, 2016-2020","Median selected monthly owner costs -without a mortgage, 2016-2020","Median gross rent, 2016-2020","Building permits, 2021","Households, 2016-2020","Persons per household, 2016-2020","Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","Households with a computer, percent, 2016-2020","Households with a broadband Internet subscription, percent, 2016-2020","High school graduate or higher, percent of persons age 25 years+, 2016-2020","Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","With a disability, under age 65 years, percent, 2016-2020","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2016-2020","In civilian labor force, female, percent of population age 16 years+, 2016-2020","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2016-2020","Median household income (in 2020 dollars), 2016-2020","Per capita income in past 12 months (in 2020 dollars), 2016-2020","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Dorchester,"32,489","32,531",-0.10%,"32,531","32,618",5.60%,21.00%,22.10%,52.50%,66.70%,29.00%,0.50%,1.20%,0.10%,2.40%,6.10%,62.30%,"2,103",4.10%,"16,765",67.50%,"$187,300 ","$1,405 ",$543 ,$865 ,69,"13,433",2.34,89.50%,6.30%,87.70%,80.40%,87.00%,19.90%,12.60%,7.10%,60.70%,58.00%,D,"158,064","843,133","288,746","$8,871 ",27.3,"$52,799 ","$29,860 ",14.90%,682,"10,004","393,937",1.30%,"2,442","2,803","1,549",874,504,"2,180",344,"2,323",60.3,540.77,"""24019"""
Charles,"168,698","166,617",1.20%,"166,617","146,551",5.90%,23.80%,12.90%,51.80%,41.60%,50.10%,0.80%,3.40%,0.10%,4.00%,6.30%,37.20%,"16,066",6.50%,"61,838",76.90%,"$326,800 ","$2,221 ",$624 ,"$1,686 ",931,"57,388",2.78,89.40%,8.30%,92.90%,88.90%,93.60%,30.00%,7.20%,4.80%,66.80%,64.40%,D,"456,614","84,000","2,245,020","$14,908 ",45.4,"$103,678 ","$42,737 ",7.40%,"2,646","34,230","1,340,762",1.40%,"11,889","10,920","5,526","4,220","5,024","5,464","1,487","8,861",320.2,457.75,"""24017"""
Cecil,"103,905","103,725",0.20%,"103,725","101,108",5.70%,22.50%,16.20%,50.50%,88.30%,7.30%,0.40%,1.40%,0.10%,2.50%,4.70%,84.60%,"7,384",3.90%,"42,745",74.60%,"$250,400 ","$1,753 ",$570 ,"$1,151 ",366,"37,293",2.72,90.30%,6.20%,92.90%,88.20%,90.00%,25.30%,10.40%,5.80%,64.80%,59.30%,"154,123","534,477","1,989,298","1,146,349","$11,272 ",30.6,"$79,415 ","$35,887 ",8.80%,"1,738","28,041","1,379,361",3.00%,"5,609","6,663","3,332","2,409",695,"5,660",443,"5,763",292,346.27,"""24015"""
Somerset,"24,584","24,620",-0.10%,"24,620","26,470",4.60%,16.90%,17.30%,45.90%,54.20%,41.50%,0.50%,1.00%,0.10%,2.70%,4.00%,51.40%,"1,454",3.70%,"11,476",65.90%,"$131,500 ","$1,301 ",$481 ,$766 ,62,"8,509",2.31,84.40%,4.70%,86.20%,80.10%,83.50%,15.80%,11.50%,7.50%,47.50%,55.80%,"12,769","74,733","223,208","112,241","$4,275 ",24.2,"$44,980 ","$19,507 ",22.20%,349,"4,118","155,797",2.70%,"1,449","1,692",940,481,291,"1,365",135,"1,466",82.8,319.72,"""24039"""
St. Mary's,"114,468","113,777",0.60%,"113,777","105,151",6.30%,23.90%,13.40%,50.00%,78.10%,14.90%,0.50%,2.90%,0.10%,3.60%,5.60%,73.50%,"11,411",5.20%,"46,807",70.30%,"$318,500 ","$1,962 ",$570 ,"$1,436 ",359,"41,280",2.67,86.10%,7.10%,92.60%,86.70%,90.40%,32.00%,8.90%,5.20%,65.10%,59.50%,"166,600","379,894",D,"1,226,984","$11,258 ",31.7,"$95,864 ","$41,430 ",7.30%,"2,006","34,465","1,956,378",4.50%,"6,998","7,357","3,323","2,941","1,256","5,780",598,"6,193",294.4,357.18,"""24037"""
Queen Anne's,"50,798","49,874",1.90%,"49,874","47,798",5.10%,21.40%,19.20%,50.40%,89.80%,6.30%,0.50%,1.20%,0.10%,2.00%,4.30%,86.30%,"3,480",4.30%,"21,539",80.20%,"$363,300 ","$2,178 ",$668 ,"$1,553 ",428,"19,000",2.61,89.90%,5.30%,95.00%,86.50%,93.20%,36.50%,7.10%,5.70%,65.20%,62.20%,"112,975","74,091","208,329","547,492","$11,266 ",36,"$96,467 ","$45,228 ",6.90%,"1,381","12,523","527,911",-1.90%,"5,037","4,907","2,873","1,463",216,"4,470",685,"3,951",128.5,371.91,"""24035"""
Prince George's,"955,306","967,201",-1.20%,"967,201","863,420",6.50%,22.10%,13.90%,51.90%,27.10%,64.40%,1.20%,4.40%,0.20%,2.70%,19.50%,12.30%,"53,192",23.00%,"335,752",62.10%,"$319,600 ","$2,121 ",$691 ,"$1,494 ","2,459","315,634",2.83,86.10%,27.80%,95.30%,89.80%,87.20%,34.40%,6.60%,10.20%,70.90%,67.40%,"1,685,461","3,126,368","2,216,764","9,358,060","$10,620 ",37,"$86,994 ","$38,502 ",9.50%,"15,716","274,678","13,593,029",0.40%,"82,444","77,204","37,899","34,395","59,172","16,219","7,644","67,290","1,788.80",482.69,"""24033"""
Kent,"19,270","19,198",0.40%,"19,198","20,197",4.00%,15.40%,27.10%,51.90%,81.30%,14.90%,0.40%,1.40%,0.10%,2.00%,4.50%,77.80%,"1,349",4.90%,"10,689",69.20%,"$258,500 ","$1,700 ",$633 ,$969 ,48,"8,274",2.15,85.50%,5.70%,86.60%,74.20%,89.30%,36.30%,9.10%,8.30%,58.30%,53.70%,D,"115,631","360,029","185,941","$9,209 ",28.2,"$60,208 ","$37,699 ",12.00%,579,"6,591","251,654",-0.50%,"1,825","2,200","1,316",672,230,"1,880",173,"1,936",72.9,277.03,"""24029"""
Howard,"334,529","332,317",0.70%,"332,317","287,085",5.90%,24.20%,14.30%,51.10%,55.90%,20.40%,0.40%,19.30%,0.10%,3.90%,7.30%,50.30%,"17,274",21.20%,"122,593",72.70%,"$464,500 ","$2,626 ",$844 ,"$1,731 ","1,735","116,457",2.75,88.00%,25.90%,97.20%,94.90%,95.50%,62.70%,5.10%,4.50%,70.10%,66.20%,"610,885","1,406,355","1,538,172","4,867,692","$16,257 ",31.1,"$124,042 ","$55,873 ",5.50%,"9,605","182,310","13,001,742",2.20%,"29,187","30,457","15,977","10,839","10,464","18,522","2,596","26,031","1,144.90",250.74,"""24027"""
Worcester,"53,132","52,460",1.30%,"52,460","51,454",4.10%,17.00%,28.20%,51.50%,83.00%,13.00%,0.40%,1.50%,Z,1.90%,3.70%,80.00%,"4,578",5.20%,"56,652",75.70%,"$267,400 ","$1,613 ",$591 ,"$1,020 ",462,"22,661",2.26,86.60%,6.70%,90.80%,85.30%,92.20%,29.80%,10.00%,7.40%,58.40%,54.90%,"552,278","196,118","241,724","835,579","$16,200 ",24.1,"$65,396 ","$41,055 ",11.70%,"2,143","19,815","698,364",1.40%,"5,309","6,413","3,534","2,100",481,"5,743",700,"5,315",109.9,468.28,"""24047"""
Wicomico,"103,980","103,588",0.40%,"103,588","98,733",6.10%,21.90%,16.30%,52.70%,66.20%,27.30%,0.40%,3.00%,0.10%,2.80%,5.50%,62.00%,"6,119",8.20%,"42,531",58.70%,"$185,000 ","$1,399 ",$506 ,"$1,059 ",223,"38,142",2.6,81.70%,10.90%,90.60%,84.20%,87.70%,28.00%,9.00%,8.50%,64.70%,62.70%,"187,129","935,063","1,216,805","1,608,264","$15,979 ",22,"$60,366 ","$29,049 ",14.20%,"2,450","35,493","1,522,504",-2.20%,"6,531","7,546","3,697","2,636","1,718","5,376",637,"6,290",263.7,374.44,"""24045"""
Washington,"154,937","154,705",0.10%,"154,705","147,430",5.70%,21.70%,17.50%,49.10%,82.00%,12.50%,0.30%,1.90%,0.10%,3.10%,5.80%,77.40%,"9,877",5.00%,"61,767",66.60%,"$221,700 ","$1,543 ",$469 ,$931 ,332,"56,367",2.51,85.50%,7.40%,89.40%,82.50%,88.10%,22.40%,11.40%,6.70%,59.90%,57.70%,"258,678","1,056,407","2,735,043","2,457,555","$16,474 ",30.2,"$63,510 ","$31,525 ",12.30%,"3,442","61,034","2,598,105",1.20%,"8,918","10,639","5,409","3,830","1,342","8,658",978,"8,878",322.1,457.78,"""24043"""
Talbot,"37,626","37,526",0.30%,"37,526","37,782",4.70%,18.20%,29.70%,52.70%,83.30%,12.80%,0.40%,1.40%,0.20%,1.80%,7.20%,77.40%,"2,888",6.80%,"20,294",71.20%,"$334,000 ","$1,929 ",$591 ,"$1,122 ",167,"16,810",2.18,87.20%,7.90%,91.40%,86.90%,91.20%,39.70%,9.00%,8.00%,57.30%,52.20%,"131,400","386,968",D,"670,169","$17,591 ",27.4,"$73,102 ","$49,193 ",9.60%,"1,448","17,117","751,222",-1.20%,"4,331","5,538","2,917","1,821",538,"4,775",664,"4,581",140.7,268.54,"""24041"""
